track_id,duration,loudness,tempo,song_hotness,artist_hotness,key_confidence,mode_confidence,release_year,artist_id,artist_tag
b'TRAAAAW128F429D538',218.93179,-11.197,92.198,0.6021199899057548,0.4019975433642836,0.736,0.636,0,b'ARD7TVE1187B99BFB1',[]
b'TRAAABD128F429CF47',148.03546,-9.843,121.274,,0.4174996449709784,0.169,0.43,1969,b'ARMJAGH1187FB546F3',[b'classic pop and rock']
b'TRAAADZ128F9348C2E',177.47546,-9.689,100.07,,0.34342837829688244,0.643,0.565,0,b'ARKRRTF1187B9984DA',[]
b'TRAAAEF128F4273421',233.40363,-9.013,119.293,,0.4542311565706205,0.751,0.749,1982,b'AR7G5I41187FB4CE6C',[b'uk' b'british' b'english']
b'TRAAAFD128F92F423A',209.60608,-4.501,129.738,0.6045007385888197,0.40172368550367865,0.092,0.371,2007,b'ARXR32B1187FB57099',[]
b'TRAAAMO128F1481E7F',267.7024,-9.323,147.782,,0.385470550555821,0.635,0.557,0,b'ARKFYS91187B98E58F',[]
b'TRAAAMQ128F1460CD3',114.78159,-17.302,111.787,,0.2619411773808474,0.0,0.0,0,b'ARD0S291187B9B7BF5',[]
b'TRAAAPK128E0786D96',189.57016,-11.642,101.43,,0.6055071356905752,0.0,0.16,0,b'AR10USD1187B99F3F1',[]
b'TRAAARJ128F9320760',269.81832,-13.496,86.643,0.26586104921065007,0.33227574659906806,0.717,0.652,1984,b'AR8ZCNI1187B9A069B',[]
b'TRAAAVG12903CFA543',266.39628,-6.697,114.041,,0.42270564102939107,0.053,0.473,0,b'ARNTLGG11E2835DDB9',[]
b'TRAAAVO128F93133D4',218.77506,-10.021,146.765,0.0,0.29626895431146333,0.354,0.485,0,b'ARGSJW91187B9B1D6B',[]
b'TRAABCL128F4286650',245.21098,-7.545,117.975,0.26586104921065007,0.35155586118563925,0.07,0.686,0,b'ARC43071187B990240',[]
b'TRAABDL12903CAABBA',226.35057,-6.632,130.04,0.0,0.3794821702804675,0.205,0.305,0,b'ARL7K851187B99ACD2',[]
b'TRAABJL12903CDCF1A',191.84281,-7.75,137.334,0.0,0.25193652476242323,0.0,0.198,0,b'ARHHO3O1187B989413',[]
b'TRAABJV128F1460C49',307.3824,-8.346,125.197,,0.5530719914619753,0.524,0.533,1986,b'ARIK43K1187B9AE54C',[b'soul and reggae']
b'TRAABLR128F423B7E3',491.12771,-8.576,119.826,0.4051157216913865,0.4479354804795022,1.0,0.829,1987,b'ARD842G1187B997376',[b'canadian' b'country rock' b'rock' b'folk']
b'TRAABNV128F425CEE1',228.5971,-16.11,127.756,0.3347065490692206,0.33080635685585685,0.041,0.516,0,b'ARIG6O41187B988BDD',[]
b'TRAABRB128F9306DD5',599.24853,-8.032,99.273,,0.30667609347902947,0.06,0.346,0,b'AR1ZHYZ1187FB3C717',[]
b'TRAABVM128F92CA9DC',290.29832,-5.271,150.062,0.6841361912294903,0.5134632897021558,0.725,0.756,2004,b'ARYKCQI1187FB3B18F',[]
b'TRAABXG128F9318EBD',165.69424,-6.787,138.331,0.0,0.0,0.011,0.568,0,b'ARNPAGP1241B9C7FD4',[]
b'TRAABYN12903CFD305',151.84934,-15.221,86.186,,0.29153972708877773,0.799,0.716,0,b'ARQGYP71187FB44566',[]
b'TRAABYW128F4244559',220.78649,-8.514,110.382,0.0,0.3285530150180186,0.809,0.521,0,b'ARI3BMM1187FB4255E',[]
b'TRAACCG128F92E8A55',269.58322,-8.05,111.874,0.3135621142479342,0.37825468551016656,0.596,0.666,0,b'AR5KOSW1187FB35FF4',[]
b'TRAACER128F4290F96',207.77751,-4.264,166.862,0.6665278462297023,0.5418889720336469,0.381,0.453,2004,b'ARMAC4T1187FB3FA4C',[b'rock and indie' b'metal']
b'TRAACFV128F935E50B',124.86485,-12.332,137.522,0.4952936212921635,0.3062422642462862,0.697,0.541,1985,b'AR47JEX1187B995D81',[]
b'TRAACHN128F1489601',225.09669,-5.908,164.672,0.37598430150044215,0.3636513650591166,0.53,0.512,0,b'ARGIWFO1187B9B55B7',[]
b'TRAACIW12903CC0F6D',338.31138,-6.486,125.006,,0.42270564102939107,0.687,0.486,0,b'ARNTLGG11E2835DDB9',[]
b'TRAACLV128F427E123',186.48771,-4.516,90.022,,0.3499126116745628,0.762,0.539,2005,b'ARDNS031187B9924F0',[]
b'TRAACNS128F14A2DF5',168.25424,-9.616,127.025,,0.3796711247498673,0.812,0.736,1997,b'AROUOZZ1187B9ABE51',[]
b'TRAACOW128F933E35F',156.39465,-18.051,95.957,0.0,0.2992303679293693,0.569,0.495,1961,b'ARH4Z031187B9A71F2',[]
