track_id,duration,loudness,tempo,artist_hotness,key_confidence,mode_confidence,artist_id
b'TRAAAAW128F429D538',218.93179,-11.197,92.198,0.4019975433642836,0.736,0.636,b'ARD7TVE1187B99BFB1'
b'TRAAABD128F429CF47',148.03546,-9.843,121.274,0.4174996449709784,0.169,0.43,b'ARMJAGH1187FB546F3'
b'TRAAADZ128F9348C2E',177.47546,-9.689,100.07,0.34342837829688244,0.643,0.565,b'ARKRRTF1187B9984DA'
b'TRAAAEF128F4273421',233.40363,-9.013,119.293,0.4542311565706205,0.751,0.749,b'AR7G5I41187FB4CE6C'
b'TRAAAFD128F92F423A',209.60608,-4.501,129.738,0.40172368550367865,0.092,0.371,b'ARXR32B1187FB57099'
b'TRAAAMO128F1481E7F',267.7024,-9.323,147.782,0.385470550555821,0.635,0.557,b'ARKFYS91187B98E58F'
b'TRAAAMQ128F1460CD3',114.78159,-17.302,111.787,0.2619411773808474,0.0,0.0,b'ARD0S291187B9B7BF5'
b'TRAAAPK128E0786D96',189.57016,-11.642,101.43,0.6055071356905752,0.0,0.16,b'AR10USD1187B99F3F1'
b'TRAAARJ128F9320760',269.81832,-13.496,86.643,0.33227574659906806,0.717,0.652,b'AR8ZCNI1187B9A069B'
b'TRAAAVG12903CFA543',266.39628,-6.697,114.041,0.42270564102939107,0.053,0.473,b'ARNTLGG11E2835DDB9'
b'TRAAAVO128F93133D4',218.77506,-10.021,146.765,0.29626895431146333,0.354,0.485,b'ARGSJW91187B9B1D6B'
b'TRAABCL128F4286650',245.21098,-7.545,117.975,0.35155586118563925,0.07,0.686,b'ARC43071187B990240'
b'TRAABDL12903CAABBA',226.35057,-6.632,130.04,0.3794821702804675,0.205,0.305,b'ARL7K851187B99ACD2'
b'TRAABJL12903CDCF1A',191.84281,-7.75,137.334,0.25193652476242323,0.0,0.198,b'ARHHO3O1187B989413'
b'TRAABJV128F1460C49',307.3824,-8.346,125.197,0.5530719914619753,0.524,0.533,b'ARIK43K1187B9AE54C'
b'TRAABLR128F423B7E3',491.12771,-8.576,119.826,0.4479354804795022,1.0,0.829,b'ARD842G1187B997376'
b'TRAABNV128F425CEE1',228.5971,-16.11,127.756,0.33080635685585685,0.041,0.516,b'ARIG6O41187B988BDD'
b'TRAABRB128F9306DD5',599.24853,-8.032,99.273,0.30667609347902947,0.06,0.346,b'AR1ZHYZ1187FB3C717'
b'TRAABVM128F92CA9DC',290.29832,-5.271,150.062,0.5134632897021558,0.725,0.756,b'ARYKCQI1187FB3B18F'
b'TRAABXG128F9318EBD',165.69424,-6.787,138.331,0.0,0.011,0.568,b'ARNPAGP1241B9C7FD4'
b'TRAABYN12903CFD305',151.84934,-15.221,86.186,0.29153972708877773,0.799,0.716,b'ARQGYP71187FB44566'
b'TRAABYW128F4244559',220.78649,-8.514,110.382,0.3285530150180186,0.809,0.521,b'ARI3BMM1187FB4255E'
b'TRAACCG128F92E8A55',269.58322,-8.05,111.874,0.37825468551016656,0.596,0.666,b'AR5KOSW1187FB35FF4'
b'TRAACER128F4290F96',207.77751,-4.264,166.862,0.5418889720336469,0.381,0.453,b'ARMAC4T1187FB3FA4C'
b'TRAACFV128F935E50B',124.86485,-12.332,137.522,0.3062422642462862,0.697,0.541,b'AR47JEX1187B995D81'
b'TRAACHN128F1489601',225.09669,-5.908,164.672,0.3636513650591166,0.53,0.512,b'ARGIWFO1187B9B55B7'
b'TRAACIW12903CC0F6D',338.31138,-6.486,125.006,0.42270564102939107,0.687,0.486,b'ARNTLGG11E2835DDB9'
b'TRAACLV128F427E123',186.48771,-4.516,90.022,0.3499126116745628,0.762,0.539,b'ARDNS031187B9924F0'
b'TRAACNS128F14A2DF5',168.25424,-9.616,127.025,0.3796711247498673,0.812,0.736,b'AROUOZZ1187B9ABE51'
b'TRAACOW128F933E35F',156.39465,-18.051,95.957,0.2992303679293693,0.569,0.495,b'ARH4Z031187B9A71F2'
b'TRAACPE128F421C1B9',342.56934,-11.939,110.189,0.4161730646266773,0.381,0.538,b'ARB29H41187B98F0EF'
b'TRAACQT128F9331780',484.62322,-15.335,138.007,0.45278947675222264,0.283,0.363,b'AR1Y2PT1187FB5B9CE'
b'TRAACSL128F93462F4',164.80608,-10.922,130.1,0.4182165181949368,0.254,0.042,b'ARAJPHH1187FB5566A'
b'TRAACTB12903CAAF15',133.32853,-9.983,160.839,0.3846110839616365,0.384,0.402,b'AR0RCMP1187FB3F427'
b'TRAACVS128E078BE39',173.66159,-7.762,41.993,0.42631795640769016,0.299,0.464,b'AREBBGV1187FB523D2'
b'TRAACZK128F4243829',313.12934,-9.512,189.646,0.39273367554668775,0.724,0.364,b'ARGUVEV1187B98BA17'
b'TRAADDS128F425C68B',450.84689,-9.063,130.586,0.48801984168567314,0.726,0.367,b'ARPQ4Z01187FB3A736'
b'TRAADED128F42741FD',303.09832,-8.879,128.292,0.41168895978577885,0.532,0.516,b'ARNQAVF11F4C844C04'
b'TRAADEV128F9348C0A',128.83546,-17.699,90.932,0.38265197113973687,0.0,0.251,b'ARXUT4W1187FB48BEB'
b'TRAADHS12903CE70A9',456.30649,-19.478,89.667,0.294861261887382,0.611,0.546,b'ARDD1RC1187B9B52B4'
b'TRAADIV12903CB15C1',198.73914,-7.469,115.061,0.3931219335710068,0.673,0.579,b'ARLGWFM1187FB4AC9F'
b'TRAADLH12903CA70EE',95.68608,-2.022,115.887,0.4675384440100101,0.421,0.589,b'ARWYVP51187B98C516'
b'TRAADLN128F14832E9',271.49016,-10.358,139.333,0.7357656929506414,0.301,0.392,b'ARFCUN31187B9AD578'
b'TRAADLR12903CF8D7E',226.66404,-12.716,117.271,0.3500785789894733,0.863,0.671,b'AR6YDKV1187B989230'
b'TRAADLX128F1469250',190.48444,-15.663,102.428,0.4427658420289504,0.544,0.596,b'ARV1JVD1187B9AD195'
b'TRAADMH128F9343E59',277.78567,-6.944,89.984,0.4666288889016846,0.0,0.0,b'AR7TTS41187B9B42D3'
b'TRAADNA128F9331246',248.78975,-7.805,116.721,0.544257505724526,0.754,0.597,b'ART3O5Z1187B9AB043'
b'TRAADOF12903CAA1C1',195.3171,-10.7,123.142,0.45281783769711387,0.98,0.753,b'AR5U94U1187FB5CDCF'
b'TRAADQX128F422B4CF',175.72526,-10.93,141.919,0.3942171989010042,0.522,0.474,b'ARRJNTE1187FB44E12'
b'TRAADRN128F932D607',217.23383,-9.493,95.596,0.3345773601190987,0.005,0.305,b'AR6IRG41187B9A4D98'
b'TRAADVH128EF34DE7A',344.05832,-9.253,154.953,0.4793084593382274,0.425,0.486,b'ARS1OWB1187B99EEAD'
b'TRAADYB128F92D7E73',251.42812,-12.009,86.091,0.42791424698295477,0.391,0.319,b'ARGMXQW1187FB54C34'
b'TRAADYI128E078FB38',269.7922,-11.043,90.218,0.41224060053560735,0.715,0.614,b'AROEL1B1187B988B90'
b'TRAAEAM128F934B199',206.05342,-11.506,133.144,0.40439264015477133,0.641,0.597,b'AR8W8DN1187FB35ED0'
b'TRAAEDJ12903CCE390',190.04036,-14.179,205.317,0.38347574490669173,0.105,0.433,b'ARUWLCL1187FB549B8'
b'TRAAEEH128E0795DFE',241.162,-8.531,180.149,0.500691340913453,0.222,0.403,b'AR3793X1187FB50CB3'
b'TRAAELO128F9302DD1',122.64444,-8.541,102.538,0.3384148184832545,0.61,0.489,b'ARINEWW1187FB5577E'
b'TRAAEMJ128F425A917',207.0722,-6.629,84.164,0.5236990777653908,0.442,0.371,b'ARDGB6U1187FB3AD07'
b'TRAAENC128F1451DE9',300.79955,-13.33,124.175,0.3835242473277272,0.666,0.658,b'AR2J2WF1187FB46271'
b'TRAAENP128F147BF32',228.46649,-12.412,137.004,0.48165586241245567,0.458,0.602,b'ARUI8651187B9ACF52'
b'TRAAEOU128F9309DE0',239.59465,-21.552,106.33,0.3807045358244573,0.527,0.613,b'AR89DTT1187B9A7ED5'
b'TRAAERU128F930674F',228.93669,-8.686,107.961,0.3968558693253486,0.172,0.369,b'ARMD0G81187B99A519'
b'TRAAEUB12903CDD3EA',165.61587,-6.222,174.287,0.45755390983649336,0.108,0.256,b'AR0VZWC1187B99BA57'
b'TRAAEWG128F930B3A4',187.92444,-5.907,116.823,0.7888059351620142,0.612,0.735,b'ARF2EHS1187B994F4E'
b'TRAAEXM128F92D47C8',276.50567,-4.638,101.972,0.30004649036641506,0.29,0.389,b'ARZKRD01187FB45FD2'
b'TRAAFEB128F92F8694',200.25424,-5.884,127.97,0.18931487775261457,0.056,0.283,b'ARK4H5K1187B992F74'
b'TRAAFJW128F428A424',144.50893,-7.787,152.622,0.5542914890128156,0.093,0.423,b'AR06EB01187FB40150'
b'TRAAFKJ12903D02552',285.17832,-8.488,110.787,0.26803783963074496,0.379,0.401,b'ARKPDBH1242077DEB1'
b'TRAAFMS128F933AB23',246.69995,-9.603,112.903,0.46682699252718746,0.161,0.205,b'ARBJSO81187B9BA09B'
b'TRAAFON128F42926FB',84.03546,-26.266,115.642,0.3004544598123077,0.469,0.591,b'ARRC2JF1187B9B6A93'
b'TRAAFRU128F9339158',273.52771,-6.305,125.013,0.26627528554651025,0.652,0.694,b'ARNIFX51187FB418EA'
b'TRAAFSM128F425A2C5',298.84036,-9.998,113.277,0.33750728916593725,0.596,0.567,b'ARCCRTI11F4C845308'
b'TRAAFUJ128F933F42B',161.38404,-9.161,96.979,0.36366811024462387,0.665,0.606,b'ARNVH8S1187FB52F86'
b'TRAAFYL128E07856A7',209.29261,-4.865,140.995,0.5799889824287546,0.455,0.48,b'ARNLO5S1187B9B80CC'
b'TRAAGCZ128F93210FD',229.61587,-4.882,105.206,1.0059419659547393,0.205,0.332,b'ARTDQRC1187FB4EFD4'
b'TRAAGEC128E079252C',426.89261,-12.951,63.017,0.5984585009824434,0.05,0.395,b'ARK9TRQ1187B99C095'
b'TRAAGGE128F9325E2C',269.26975,-11.751,144.603,0.47940767557514763,0.052,0.142,b'ARODBRG1187FB3FD99'
b'TRAAGHM128EF35CF8E',249.41669,-6.693,167.92,0.13924739387110993,0.883,0.728,b'ARMBYRO1187FB57419'
b'TRAAGJV128F1464090',136.48934,-9.091,129.122,0.3891007762801808,0.386,0.632,b'ARWY7I71187FB36C3D'
b'TRAAGKF128F932D5A2',233.27302,-2.658,132.022,0.3224851056611973,0.53,0.501,b'AR6Y22S1187B99906F'
b'TRAAGKQ128F92EAF39',187.24526,-4.42,183.92,0.3356518391847009,0.842,0.721,b'ARI5P4N1187FB3F44D'
b'TRAAGKS128F9314884',72.61995,-11.051,89.867,0.45339118607533013,0.0,0.0,b'ARYPWUK1187B98ACED'
b'TRAAGMJ12903CAD7D4',272.63955,-9.97,119.896,0.36438492446826576,0.633,0.605,b'ARW63KF1187B98AC48'
b'TRAAGNL128F4299BF1',142.75873,-11.335,137.29,0.4810242392118726,0.62,0.814,b'AR8H87D1187FB3A841'
b'TRAAGOH128F42593CE',194.11546,-15.581,82.343,0.34328188178708335,1.0,0.886,b'ARLWR721187B9A03C9'
b'TRAAGPF12903CE027E',195.91791,-11.98,91.487,0.38666909170602387,0.883,0.735,b'ARF4V431187FB3AA41'
b'TRAAGPH128F4273C8D',118.33424,-11.215,84.69,0.5380702951237828,0.0,0.0,b'ARBGWMW1187B9AEA3E'
b'TRAAGPJ128F428CD1B',288.41751,-8.165,115.606,0.5524133455169445,0.08,0.665,b'AR6G4V01187B9AD086'
b'TRAAGUA128F93236E8',123.21914,-12.69,126.523,0.3475988886835368,0.278,0.482,b'ARVQ4QM1187B98AD95'
b'TRAAGVF128E0789785',283.76771,-8.7,113.677,0.39854753538058046,0.823,0.69,b'AR9AM2N1187B9AD2F1'
